Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.6249,Thu Jun 28 19:02:55 +0000 2018,0.0,0.814,0.186,"President Trump mentioned his ""Make America Great Again"" slogan and hats while speaking in Wisconsin.

In 2020, he… https://t.co/EH3Jc28Inw",1,@CNN
-0.8126,Thu Jun 28 15:29:47 +0000 2018,0.261,0.739,0.0,Mexico goes to the polls this weekend. This story has been updated to say that the 132 people killed in attacks ahe… https://t.co/UbFN1uGdgX,2,@CNN
0.0,Thu Jun 28 12:14:29 +0000 2018,0.0,1.0,0.0,Kentucky's sweeping Medicaid work requirement experiment is about to begin https://t.co/PKITF5sQn8,3,@CNN
-0.2144,Thu Jun 28 07:47:06 +0000 2018,0.085,0.915,0.0,"Not only did the German team crash out of the #WorldCup on Wednesday, but Angela Merkel is also facing a make-or-br… https://t.co/sxDt6YuFMn",4,@CNN
-0.5267,Thu Jun 28 02:30:07 +0000 2018,0.175,0.825,0.0,"Democrats are in danger of going too far left for 2018, writes Joe Cunningham for @CNNOpinion… https://t.co/5t5TFUhaq7",5,@CNN
-0.25,Wed Jun 27 23:44:06 +0000 2018,0.143,0.762,0.095,"Ben Jealous, a former NAACP leader endorsed by Bernie Sanders, moved a step closer to becoming Maryland's first bla… https://t.co/2jUyBLvNIe",6,@CNN
0.0,Wed Jun 27 21:13:03 +0000 2018,0.0,1.0,0.0,Here's everything you need to know about tonight's Strawberry Moon https://t.co/X51oi9eWCg https://t.co/HwR8rcSMEm,7,@CNN
0.8316,Wed Jun 27 18:47:08 +0000 2018,0.0,0.63,0.37,"President Trump will push for the swift confirmation of a Supreme Court justice ""before the midterm elections,"" a s… https://t.co/GoJKdqOTN5",8,@CNN
0.0258,Wed Jun 27 15:14:06 +0000 2018,0.166,0.663,0.171,Facebook has abandoned an ambitious plan to design and produce its own drones. https://t.co/OsmYnonbis,9,@CNN
-0.2263,Wed Jun 27 11:39:58 +0000 2018,0.139,0.861,0.0,"Galvanized by the issue of teachers pay and school funding, Oklahoma teachers marched and protested in the state Ca… https://t.co/hZy59EsrpY",10,@CNN
0.0,Wed Jun 27 07:09:04 +0000 2018,0.0,1.0,0.0,"Luxury handbags, jewelry, cash and goods seized from six properties linked to former Malaysian Prime Minister Najib… https://t.co/sx5qNtjGEu",11,@CNN
0.0,Wed Jun 27 03:45:00 +0000 2018,0.0,1.0,0.0,GM is bringing back the Chevy Blazer — an SUV classic — for the first time since 2005 https://t.co/8c76T8c0gI https://t.co/vpt0Pkjn5L,12,@CNN
0.4754,Wed Jun 27 00:00:23 +0000 2018,0.0,0.829,0.171,Aston Martin has unveiled the most powerful regular production car the company has ever offered… https://t.co/1dSgNbOo1Z,13,@CNN
0.8271,Tue Jun 26 20:11:07 +0000 2018,0.12,0.492,0.388,"President Trump awarded a posthumous Medal of Honor to World War II hero Garlin Murl Conner, believed to be the sec… https://t.co/KPCKlNUyNs",14,@CNN
0.0,Tue Jun 26 16:51:27 +0000 2018,0.0,1.0,0.0,The 55 most over-the-top lines from Donald Trump's South Carolina speech | Analysis by Chris Cillizza… https://t.co/SAkA6HJ7jt,15,@CNN
0.296,Tue Jun 26 13:30:00 +0000 2018,0.0,0.879,0.121,CNN's Jim Acosta faced both heckling and supportive statements while covering a rally for incumbent South Carolina… https://t.co/H00a7C7rM5,16,@CNN
0.0,Tue Jun 26 10:16:33 +0000 2018,0.0,1.0,0.0,McDonald's and Starbucks are among dozens of companies caught in a crackdown on plastics in India https://t.co/NgmApTcL9a,17,@CNN
-0.5256,Tue Jun 26 05:15:04 +0000 2018,0.22,0.78,0.0,"India is the most dangerous country to be a woman, survey shows https://t.co/XAfPp1j4Te https://t.co/NrvdV0pSoA",18,@CNN
0.5965,Tue Jun 26 01:15:06 +0000 2018,0.0,0.77,0.23,This palace is one of the most culturally rich destinations in Vietnam https://t.co/AIclngDZ1L https://t.co/17wP17dRh1,19,@CNN
-0.34,Mon Jun 25 22:09:03 +0000 2018,0.13,0.87,0.0,Senate Minority Leader Chuck Schumer sharply criticizes fellow Democrat Rep. Maxine Waters for calling on opponents… https://t.co/5jYit3bAaQ,20,@CNN
0.4404,Mon Jun 25 18:59:05 +0000 2018,0.122,0.609,0.269,A teacher's dying wish helps hundreds of needy kids with backpacks and school supplies https://t.co/Dos2eW9C70 https://t.co/W66lBwIzt1,21,@CNN
0.0,Mon Jun 25 16:10:09 +0000 2018,0.0,1.0,0.0,"""America is our last hope,"" detainees in McAllen, Texas, told Sen. Elizabeth Warren https://t.co/UtrtvcU4li https://t.co/zGeZy3UhEa",22,@CNN
0.4767,Mon Jun 25 13:02:43 +0000 2018,0.1,0.669,0.23,"In the middle of the Pride parade, two New York City fire department medics paused for a heartwarming proposal… https://t.co/kxujVc4BCK",23,@CNN
-0.7351,Mon Jun 25 09:29:45 +0000 2018,0.343,0.536,0.121,"Just weeks out of prison, Meek Mill debuted a song that delivered a blistering criticism of the criminal justice sy… https://t.co/Iil4H92dSt",24,@CNN
0.4019,Mon Jun 25 03:15:06 +0000 2018,0.0,0.816,0.184,"How soybeans -- yes, soybeans -- could impact the midterm elections https://t.co/4KclAApMvN https://t.co/Yt7ZVh9kES",25,@CNN
0.0,Sun Jun 24 23:00:18 +0000 2018,0.0,1.0,0.0,Every single person in charge of law and order in this Georgia town is a black woman https://t.co/fkQvdWFMJ1 https://t.co/3rvP1ka6rS,26,@CNN
0.5859,Sun Jun 24 18:04:49 +0000 2018,0.0,0.759,0.241,England record biggest ever #WorldCup win after putting six goals past Panama https://t.co/7mKw5AYwMC,27,@CNN
